point,Year,Region,Longtitude,Latitude,AGB,NDVIUAV,NDVIL8,NDVIMODIS,KNDVIUAV,KNDVIL8,KNDVIMODIS,EVIUAV,EVIL8,EVIMODIS,OSAVIUAV,OSAVIL8,OSAVIMODIS
NMH-074,2022,H,123.5618333,48.87425,266.541,0.81665,0.87292,0.90299,0.58232,0.64217,0.65875,0.38565,0.20023,0.60063,0.366448472,0.658357408,0.62789
NMH-077,2022,H,124.3039472,49.60861944,345.917,0.79265,0.86686,0.9086,0.55641,0.63596,0.66789,0.39255,0.3387,0.69559,0.385498702,0.80387,0.67035
NMH-078,2022,H,124.7588028,49.8553,376.701,0.83054,0.87764,0.88606,0.59726,0.64701,0.65458,0.43336,0.32321,0.67432,0.412450173,0.79239,0.6517
NMH-081,2022,H,123.6551972,49.81834444,398.374,0.8464,0.90163,0.8329,0.6143,0.67073,0.61912,0.45905,0.32644,0.55027,0.430972732,0.80623,0.59213
NMH-082,2022,H,123.3974861,49.55389722,399.498,0.7893,0.86148,0.82634,0.55278,0.63042,0.60835,0.3507,0.26399,0.4873,0.334952154,0.73277,0.55538
NMH-086,2022,H,122.2244306,49.05246667,616.673,0.83221,0.80391,0.83362,0.59891,0.56903,0.60596,0.46803,0.28736,0.64037,0.437870224,0.75262,0.61209
NMH-089,2022,H,120.9695361,49.33064722,403.55,0.8095,0.84579,0.81299,0.57486,0.61391,0.57802,0.42622,0.26792,0.5555,0.413557014,0.70517,0.5784
NMH-090,2022,H,120.2126194,48.81626389,257.613,0.78867,0.83944,0.8278,0.55215,0.60729,0.57918,0.38115,0.24768,0.59669,0.364121146,0.73374,0.63771
NMH-091,2022,H,120.1171167,48.92917222,214.821,0.71181,0.77393,0.73328,0.46773,0.5363,0.47254,0.30905,0.20067,0.47861,0.305746786,0.62332,0.57112
NMH-092,2022,H,119.6677667,48.49319444,259.403,0.68816,0.71657,0.70757,0.44179,0.47265,0.45991,0.32424,0.16774,0.42875,0.318346309,0.55107,0.55801
NMH-093,2022,H,119.7404528,48.28703889,290.597,0.78635,0.80783,0.8245,0.57881,0.57339,0.53371,0.41951,0.22317,0.53717,0.389369962,0.66517,0.56967
NMH-096,2022,H,120.0219361,50.19705833,66.646,0.59027,0.64471,0.71318,0.33772,0.39333,0.44427,0.25609,0.16439,0.42908,0.248130535,0.50975,0.59491
NMH-097,2022,H,120.7090889,50.34625833,438.024,0.81813,0.83117,0.81627,0.58391,0.59849,0.48191,0.43025,0.2708,0.57526,0.405510907,0.71323,0.51213
NMH-098,2022,H,121.2903306,50.68428889,296.446,0.71344,0.79654,0.80276,0.46936,0.56104,0.5619,0.29201,0.22559,0.41733,0.284845443,0.67931,0.50768
NMH-099,2022,H,121.1979889,50.88796111,219.072,0.75364,0.62128,0.83549,0.51369,0.3682,0.54487,0.34821,0.15089,0.44473,0.340728818,0.30832,0.57652
NMH-101,2022,H,120.9086639,50.89405278,269.731,0.82142,0.85659,0.83424,0.58766,0.62534,0.54886,0.44288,0.30896,0.46486,0.425131912,0.76222,0.49542
NMH-104,2022,H,119.9961278,50.88396111,261.768,0.78139,0.8185,0.69998,0.54428,0.58405,0.50967,0.40161,0.28,0.53573,0.403455835,0.730660803,0.50794
NMH-105,2022,H,119.7413972,50.63478056,296.425,0.7349,0.80629,0.67277,0.49311,0.57165,0.45211,0.36933,0.22651,0.46821,0.370017085,0.671753705,0.50122
NMH-106,2022,H,119.8162611,50.46600556,160.928,0.7269,0.76377,0.72718,0.4842,0.52509,0.49012,0.36459,0.20163,0.46038,0.37201862,0.616709179,0.56775
NMH-107,2022,H,119.97845,50.47939444,252.259,0.78953,0.85082,0.58576,0.55289,0.61905,0.37718,0.33751,0.05043,0.41575,0.316871182,0.274905612,0.46044
NMH-108,2022,H,119.8806722,50.14786389,248.176,0.7605,0.81816,0.67044,0.52127,0.58457,0.44155,0.38547,0.22041,0.41994,0.362596848,0.664604902,0.4893
NMH-109,2022,H,119.67725,50.20616667,184.522,0.70148,0.75255,0.56392,0.45641,0.51264,0.32322,0.32283,0.1986,0.3162,0.320104741,0.609807207,0.40035
NMH-110,2022,H,119.42635,50.19788889,184.01,0.64717,0.50684,0.52133,0.39899,0.25141,0.26556,0.28598,0.11283,0.28906,0.269475114,0.380882521,0.42754
NMH-111,2022,H,122.8664944,50.63195556,297.453,0.68625,0.75663,0.75458,0.4393,0.51708,0.50763,0.30279,0.19716,0.50865,0.319346788,0.615881794,0.53728
NMH-112,2022,H,123.5047389,50.97016944,350.887,0.80296,0.85788,0.83214,0.56774,0.62668,0.58473,0.38993,0.26807,0.52321,0.383300853,0.738805566,0.57188
NMH-114,2022,H,123.7135694,50.67459444,317.687,0.69547,0.77344,0.77746,0.4495,0.53575,0.52098,0.29656,0.2107,0.41699,0.308567328,0.633568373,0.53512
NMH-115,2022,H,123.7009361,50.77990833,362.314,0.7604,0.8245,0.81653,0.52124,0.59137,0.50446,0.32475,0.21765,0.44364,0.325958822,0.666520284,0.40103
NMH-116,2022,H,123.5861222,50.55488611,253.065,0.73802,0.81721,0.79411,0.49662,0.58351,0.51718,0.32272,0.20634,0.50202,0.331813652,0.651998109,0.4352
NMH-117,2022,H,123.888075,50.57422778,255.653,0.72984,0.79855,0.77394,0.4874,0.56324,0.49499,0.29773,0.19071,0.41814,0.303766296,0.620565335,0.46413
NMH-118,2022,H,123.8870583,50.58933056,111.995,0.63022,0.69952,0.72196,0.38042,0.4537,0.46101,0.22717,0.15211,0.34193,0.226909954,0.521584478,0.39293
NMH-120,2022,H,121.2613806,49.450375,328.408,0.68608,0.80326,0.54716,0.43948,0.56806,0.36585,0.30665,0.09939,0.37715,0.313147151,0.443372736,0.39714
NMH-121,2022,H,120.9625833,49.10559444,374.463,0.71357,0.50819,0.5897,0.46963,0.2579,0.39203,0.30689,0.08103,0.3746,0.331286316,0.359591398,0.40106
NMH-122,2022,H,120.8014556,49.19674722,494.178,0.70828,0.51748,0.6091,0.46387,0.26352,0.38199,0.30489,0.13523,0.38424,0.323536679,0.435005206,0.4344
NMH-123,2022,H,121.4180194,48.69098333,306.863,0.72452,0.80083,0.66697,0.49234,0.56574,0.45347,0.38592,0.23171,0.40468,0.382319381,0.666633864,0.43559
NMH-127,2022,H,119.720025,49.65047778,62.619,0.54089,0.53506,0.51634,0.28685,0.27875,0.27549,0.22716,0.13509,0.30888,0.233923348,0.432985359,0.36148
NMH-128,2022,H,120.2328778,49.44175278,146.668,0.59291,0.60697,0.59801,0.33945,0.35261,0.34811,0.23407,0.13923,0.36086,0.234669473,0.467945112,0.41212
NMH-129,2022,H,119.7167611,48.99198611,75.796,0.54123,0.66379,0.56349,0.28791,0.41416,0.3076,0.23651,0.17871,0.34081,0.238296666,0.540917721,0.37924
